目	79	1
見える	150	1
い	200	1
助ける	366	1
娘	459	1
少ない	550	1
車	675	1
怪我	737	1
タイプ	875	1
質問	941	1
握る	1092	1
記憶	1107	1
よう	1273	1
兄ちゃん	1383	1
距離	1456	1
御祝い	1552	1
位置	1634	1
移動	1729	1
馬鹿	1843	1
踊る	1955	1
バッグ	2008	1
がっかり	2107	0
失格	2297	1
裁判	2332	0
名誉	2410	1
平和	2522	1
立ち上げる	2666	1
仕込む	2749	0
制服	2888	1
取り返す	2905	1
ステージ	3052	1
恐れ	3199	1
責任者	3201	1
乗り切る	3368	0
手遅れ	3404	1
ゴール	3507	1
しがみ付く	3697	1
ヒット	3720	1
一時的	3893	1
メリット	3902	1
冊	4059	1
稀	4105	1
疚しい	4244	0
晴れ	4347	1
ツー	4430	1
路上	4525	1
盛る	4695	1
人気者	4768	0
上京	4806	1
議論	4952	1
欠席	5063	1
スイーツ	5165	1
台本	5291	0
存じ上げる	5326	0
居合わせる	5440	1
紛れ	5579	0
大口	5628	0
宝石	5793	1
直感	5827	1
男前	6011	0
行け行け	6141	0
腫れる	6250	1
執拗	6334	0
本件	6461	0
流し	6530	0
バイタル	6627	1
騒ぎ立てる	6746	1
寝泊まり	6859	1
食べ過ぎる	6923	1
んす	7069	0
手筈	7145	0
半月	7204	1
渡し	7393	1
禁煙	7485	1
大工	7528	0
兵器	7673	0
食事会	7714	1
組合	7874	0
他言	7949	0
とめる	8055	0
ケチャップ	8171	1
思い残す	8275	0
スイート	8378	1
欲張り	8461	0
常々	8542	0
かる	8671	0
リボン	8738	1
調味料	8858	1
仲介	8949	0
スパイス	9083	1
決勝	9153	0
総菜	9286	0
培う	9328	1
励み	9401	1
強制的	9595	1
満載	9622	0
ビジュアル	9721	1
包囲	9833	0
高等	9912	0
呼び込む	10006	1
フレッシュ	10197	1
連れ添う	10249	0
クレーマー	10367	0
決裂	10494	0
ざあ	10527	0
とん	10678	0
不問	10795	0
解き明かす	10817	0
事故る	10923	0
凄腕	11059	0
言い包める	11158	0
入れ上げる	11275	0
ボクサー	11349	1
ほうほう	11424	0
レディース	11585	1
論理的	11676	1
男児	11742	1
目論見	11843	0
胎児	11964	0
撮影中	12005	1
募金	12123	0
せしめる	12238	0
ノイローゼ	12318	0
仄か	12491	0
燃え尽きる	12579	1
ストイック	12694	0
経験値	12741	1
たらふく	12864	0
格闘技	12906	1
真っ只中	13054	0
肉屋	13122	1
チェーン店	13200	1
アラサー	13348	0
立ち眩み	13494	0
キャビア	13529	1
巨乳	13638	1
向上心	13708	0
上げ足	13840	0
陰湿	13917	0
映し出す	14094	0
渋々	14116	0
飲み食い	14225	1
消化器	14372	1
脳出血	14419	1
操縦	14504	0
スキャン	14638	1
洋風	14755	1
びび	14824	0
昼休憩	14957	1
ブライダル	15085	1
鍍金	15131	0
物資	15290	0
しゃん	15367	0
転向	15437	0
訴え掛ける	15535	1
チョッキ	15676	0
減点	15744	1
世継ぎ	15856	0
落ち目	15985	0
ふらり	16042	0
イラストレーター	16182	1
出戻る	16226	0
社交的	16368	0
洋菓子	16432	1
擦り切れる	16562	0
ポップコーン	16650	1
エビフライ	16733	1
痛快	16840	0
通り道	16951	1
術式	17009	0
運転中	17192	1
薄汚れる	17250	1
ゴールイン	17326	0
黍	17438	0
カルパッチョ	17549	1
散策	17692	0
括り	17812	0
人生観	17961	0
高らか	18089	0
自惚	18134	0
頭頂	18258	0
テリトリー	18383	1
ピック	18438	1
下劣	18503	0
ひょう	18656	0
切り抜き	18723	0
潮風	18808	0
保護司	18999	0
沿岸	19048	0
拾い集める	19144	1
老け込む	19200	1
救護	19318	0
灘	19426	0
齷齪	19594	0
手足れ	19605	0
餌遣り	19798	0
愛称	19808	1
